id	orgName	QID	ttu_id
ttu_460_org_0	Sam Johnson Vietnam Center and Archive	Q7928492	
ttu_460_org_1	"2nd Battalion, 7th Cavalry of the 1st Air Cavalry Division"	Q110629367	
ttu_460_org_2	2nd Infantry Division	Q210607	
ttu_460_org_3	Reserve Officers' Training Corps	Q489983	
ttu_460_org_4	Reserve Officers' Training Corps	Q489983	
ttu_460_org_5	Reserve Officers' Training Corps	Q489983	
ttu_460_org_10	1st Cavalry Division	Q2338	
ttu_460_org_11	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_12	2nd Infantry Division	Q210607	
ttu_460_org_13	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_14	University of Virginia	Q213439	
ttu_460_org_15	United States Army	Q9212	
ttu_460_org_16	United States Military Academy	Q9219	
ttu_460_org_17	United States Military Academy	Q9219	
ttu_460_org_18	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_19	1st Cavalry Division	Q2338	
ttu_460_org_20	1st Cavalry Division	Q2338	
ttu_460_org_21	Groupment Mobile 100	Q111011301	
ttu_460_org_22	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_460_org_23	11th Airborne Division	Q169980	
ttu_460_org_24	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_25	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_27	Maurice Rose	Q112008617	
ttu_460_org_28	Maurice Rose	Q112008617	
ttu_460_org_29	United States Marine Corps	Q11218	
ttu_460_org_31	Reserve Officers' Training Corps	Q489983	
ttu_460_org_32	11th Airborne Division	Q169980	
ttu_460_org_33	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_460_org_34	"Company B, 2nd Battalion, 7th Regiment"	Q112009074	
ttu_460_org_35	Company A	Q111597006	
ttu_460_org_39	"Alpha Company, 1st Battalion, 7th Cavalry Regiment"	Q110745296	
ttu_460_org_41	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_460_org_42	People's Army of Vietnam	Q3936506	
ttu_460_org_43	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_460_org_44	"2nd Battalion, 7th Cavalry Regiment"	Q110629367	
ttu_460_org_45	People's Army of Vietnam	Q3936506	
ttu_460_org_46	People's Army of Vietnam	Q3936506	
ttu_460_org_47	"Alpha Company, 2nd Battalion, 7th Cavalry"	Q111597006	
ttu_460_org_48	"Delta Company, 2nd Battalion, 7th Cavalry"	Q112010266	
ttu_460_org_49	"Alpha Company, 1st Battalion, 5th Cavalry"	Q111677949	
ttu_460_org_51	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_52	"Alpha Company, 2nd Battalion, 7th Cavalry"	Q111597006	
ttu_460_org_53	"Delta Company, 2nd Battalion, 7th Cavalry"	Q112010266	
ttu_460_org_54	1st Battalion 5th Cavalry	Q110880590	
ttu_460_org_55	People's Army of Vietnam	Q3936506	
ttu_460_org_56	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_57	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_58	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_59	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_60	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_61	People's Army of Vietnam	Q3936506	
ttu_460_org_62	"Alpha Company, 1st Battalion, 5th Cavalry"	Q111677949	
ttu_460_org_64	People's Army of Vietnam	Q3936506	
ttu_460_org_65	"1st Battalion, 7th Cavalry Regiment"	Q110641589	
ttu_460_org_66	Texas Tech University	Q1423756	
ttu_460_org_67	Texas Tech University	Q1423756	
ttu_460_org_68	"Charlie Company, 2nd Battalion, 7th Cavalry"	Q111524902	
ttu_460_org_69	1st Cavalry Division	Q2338	
ttu_460_org_70	1st Cavalry Division	Q2338	
ttu_460_org_71	82nd Airborne Division	Q2358	
ttu_460_org_72	2nd Infantry Division	Q210607	
ttu_460_org_73	82nd Airborne Division	Q2358	
ttu_460_org_74	1st Cavalry Division	Q2338	
ttu_460_org_75	United States Air Force	Q11223	
ttu_460_org_76	United States Army	Q9212	
ttu_460_org_77	173rd Airborne Brigade	Q198679	
